Product_Name,Product_Link,Product_Price,Review,Rating
"OnePlus Nord CE4 (Celadon Marble, 256 GB)",https://www.flipkart.com/oneplus-nord-ce4-celadon-marble-256-gb/p/itm5a09089114afb?pid=MOBGZZGY8FRH5Y7R&lid=LSTMOBGZZGY8FRH5Y7RCCECDG&marketplace=FLIPKART&q=mobile+phone&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&iid=95b8af58-0e35-4dfe-adff-00c012b27058.MOBGZZGY8FRH5Y7R.SEARCH&ssid=9in80iwtnk0000001731655802598&qH=37695f7554f510f0,25701,Best budget mobile in OnePlus brand,5.0
"OnePlus Nord CE4 (Celadon Marble, 256 GB)",https://www.flipkart.com/oneplus-nord-ce4-celadon-marble-256-gb/p/itm5a09089114afb?pid=MOBGZZGY8FRH5Y7R&lid=LSTMOBGZZGY8FRH5Y7RCCECDG&marketplace=FLIPKART&q=mobile+phone&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&iid=95b8af58-0e35-4dfe-adff-00c012b27058.MOBGZZGY8FRH5Y7R.SEARCH&ssid=9in80iwtnk0000001731655802598&qH=37695f7554f510f0,25701,"The camera is good, especially the low light camera. But the battery is draining fast in normal use. The 100W charger is very very fast. Overall good except the battery.",5.0
"OnePlus Nord CE4 (Celadon Marble, 256 GB)",https://www.flipkart.com/oneplus-nord-ce4-celadon-marble-256-gb/p/itm5a09089114afb?pid=MOBGZZGY8FRH5Y7R&lid=LSTMOBGZZGY8FRH5Y7RCCECDG&marketplace=FLIPKART&q=mobile+phone&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&iid=95b8af58-0e35-4dfe-adff-00c012b27058.MOBGZZGY8FRH5Y7R.SEARCH&ssid=9in80iwtnk0000001731655802598&qH=37695f7554f510f0,25701,Good,4.0
"OnePlus Nord CE4 (Celadon Marble, 256 GB)",https://www.flipkart.com/oneplus-nord-ce4-celadon-marble-256-gb/p/itm5a09089114afb?pid=MOBGZZGY8FRH5Y7R&lid=LSTMOBGZZGY8FRH5Y7RCCECDG&marketplace=FLIPKART&q=mobile+phone&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&iid=95b8af58-0e35-4dfe-adff-00c012b27058.MOBGZZGY8FRH5Y7R.SEARCH&ssid=9in80iwtnk0000001731655802598&qH=37695f7554f510f0,25701,Value for money 🤑 overall good performance nice camera 🤳 thanks to one plus,4.0
"OnePlus Nord CE4 (Celadon Marble, 256 GB)",https://www.flipkart.com/oneplus-nord-ce4-celadon-marble-256-gb/p/itm5a09089114afb?pid=MOBGZZGY8FRH5Y7R&lid=LSTMOBGZZGY8FRH5Y7RCCECDG&marketplace=FLIPKART&q=mobile+phone&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&iid=95b8af58-0e35-4dfe-adff-00c012b27058.MOBGZZGY8FRH5Y7R.SEARCH&ssid=9in80iwtnk0000001731655802598&qH=37695f7554f510f0,25701,Nice product,4.0
"OnePlus Nord CE4 (Celadon Marble, 256 GB)",https://www.flipkart.com/oneplus-nord-ce4-celadon-marble-256-gb/p/itm5a09089114afb?pid=MOBGZZGY8FRH5Y7R&lid=LSTMOBGZZGY8FRH5Y7RCCECDG&marketplace=FLIPKART&q=mobile+phone&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&iid=95b8af58-0e35-4dfe-adff-00c012b27058.MOBGZZGY8FRH5Y7R.SEARCH&ssid=9in80iwtnk0000001731655802598&qH=37695f7554f510f0,25701,"Actually this is an all-rounder phone...almost 1month I have use this phone and gave good performance...
Camera is good but not perfect..uw angle is decent
Battery is good.. moderate usage will give upto 12-15 hrs screen on time
Played bgmi 2 hrs consistently and gave perfect performance..no lag...just fame drops..maybe be internet issues..
Display is perfect..
U can definitely buy if u want all rounder phone",5.0
"OnePlus Nord CE4 (Celadon Marble, 256 GB)",https://www.flipkart.com/oneplus-nord-ce4-celadon-marble-256-gb/p/itm5a09089114afb?pid=MOBGZZGY8FRH5Y7R&lid=LSTMOBGZZGY8FRH5Y7RCCECDG&marketplace=FLIPKART&q=mobile+phone&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&iid=95b8af58-0e35-4dfe-adff-00c012b27058.MOBGZZGY8FRH5Y7R.SEARCH&ssid=9in80iwtnk0000001731655802598&qH=37695f7554f510f0,25701,Best smart phone in this price my personal favourite is 100w charger 😍,5.0
"OnePlus Nord CE4 (Celadon Marble, 256 GB)",https://www.flipkart.com/oneplus-nord-ce4-celadon-marble-256-gb/p/itm5a09089114afb?pid=MOBGZZGY8FRH5Y7R&lid=LSTMOBGZZGY8FRH5Y7RCCECDG&marketplace=FLIPKART&q=mobile+phone&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&iid=95b8af58-0e35-4dfe-adff-00c012b27058.MOBGZZGY8FRH5Y7R.SEARCH&ssid=9in80iwtnk0000001731655802598&qH=37695f7554f510f0,25701,Nice,4.0
"OnePlus Nord CE4 (Celadon Marble, 256 GB)",https://www.flipkart.com/oneplus-nord-ce4-celadon-marble-256-gb/p/itm5a09089114afb?pid=MOBGZZGY8FRH5Y7R&lid=LSTMOBGZZGY8FRH5Y7RCCECDG&marketplace=FLIPKART&q=mobile+phone&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&iid=95b8af58-0e35-4dfe-adff-00c012b27058.MOBGZZGY8FRH5Y7R.SEARCH&ssid=9in80iwtnk0000001731655802598&qH=37695f7554f510f0,25701,"This mobile in price range best mobile camera, battery, prosesor, display amazing 😍😍 mobile disin outstanding great performance 😀 I am so happy 😊😊",5.0
"OnePlus Nord CE4 (Celadon Marble, 256 GB)",https://www.flipkart.com/oneplus-nord-ce4-celadon-marble-256-gb/p/itm5a09089114afb?pid=MOBGZZGY8FRH5Y7R&lid=LSTMOBGZZGY8FRH5Y7RCCECDG&marketplace=FLIPKART&q=mobile+phone&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&iid=95b8af58-0e35-4dfe-adff-00c012b27058.MOBGZZGY8FRH5Y7R.SEARCH&ssid=9in80iwtnk0000001731655802598&qH=37695f7554f510f0,25701,"Amazing product, Superb fast charging, am never ever seen before. 100W superb fast,
Camera qulity is awesome 4k with 30fps record and 1080p 60fps which means good. In display finger quick response to unlock device and many more feature available... In box, charger, cable, and mobile",4.0
