Product_Name,Product_Link,Product_Price
"Motorola Edge 50 Fusion (Forest Blue, 256 GB)",https://www.flipkart.com/motorola-edge-50-fusion-forest-blue-256-gb/p/itme13bbe694468e?pid=MOBGXTYZZEW8GZE6&lid=LSTMOBGXTYZZEW8GZE6FYRQA2&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBGXTYZZEW8GZE6.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹24,999
₹27,99910% off"
"Motorola Edge 50 Pro 5G with 68W Charger (Luxe Lavender, 256 GB)",https://www.flipkart.com/motorola-edge-50-pro-5g-68w-charger-luxe-lavender-256-gb/p/itmba8105d0d22ad?pid=MOBGXFXYMTKAMPTS&lid=LSTMOBGXFXYMTKAMPTSN2DKRK&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBGXFXYMTKAMPTS.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹27,999
₹36,99924% off"
"Motorola Edge 50 Pro 5G with 125W Charger (Luxe Lavender, 256 GB)",https://www.flipkart.com/motorola-edge-50-pro-5g-125w-charger-luxe-lavender-256-gb/p/itm3281f9ac32d1a?pid=MOBGXFXY2SBHGSVN&lid=LSTMOBGXFXY2SBHGSVNUNNNTJ&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&spotlightTagId=FkPickId_tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBGXFXY2SBHGSVN.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹31,999
₹41,99923% off"
"Motorola Edge 50 Pro 5G with 68W Charger (Black Beauty, 256 GB)",https://www.flipkart.com/motorola-edge-50-pro-5g-68w-charger-black-beauty-256-gb/p/itmb3f6625c5c896?pid=MOBGXFXYDG8YRZU4&lid=LSTMOBGXFXYDG8YRZU4SAX9WW&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBGXFXYDG8YRZU4.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹27,999
₹36,99924% off"
"Motorola Edge 50 Pro 5G with 125W Charger (Moonlight Pearl, 256 GB)",https://www.flipkart.com/motorola-edge-50-pro-5g-125w-charger-moonlight-pearl-256-gb/p/itm58844545548bd?pid=MOBGXFXYK3GVSARU&lid=LSTMOBGXFXYK3GVSARULH9LJF&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_2_25&otracker=search&otracker1=search&fm=Search&iid=52360e85-3d76-4ef3-adb8-f54bfd97a62b.MOBGXFXYK3GVSARU.SEARCH&ppt=sp&ppn=sp&ssid=dgmcqa56k00000001731655681258&qH=979dd593b8c05a74,"₹31,999
₹41,99923% off"
"Motorola Edge 50 Pro 5G with 68W Charger (Moonlight Pearl, 256 GB)",https://www.flipkart.com/motorola-edge-50-pro-5g-68w-charger-moonlight-pearl-256-gb/p/itm6a1f980a4c742?pid=MOBGXFXYY2ZW8USH&lid=LSTMOBGXFXYY2ZW8USHKGOYU3&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_2_26&otracker=search&otracker1=search&fm=Search&iid=52360e85-3d76-4ef3-adb8-f54bfd97a62b.MOBGXFXYY2ZW8USH.SEARCH&ppt=sp&ppn=sp&ssid=dgmcqa56k00000001731655681258&qH=979dd593b8c05a74,"₹27,999
₹36,99924% off"
"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)",https://www.flipkart.com/motorola-edge-50-fusion-marshmallow-blue-256-gb/p/itmdcb7e2baaaa91?pid=MOBGXTYZBAS4VM8K&lid=LSTMOBGXTYZBAS4VM8KX6T7CM&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_2_27&otracker=search&otracker1=search&fm=Search&iid=52360e85-3d76-4ef3-adb8-f54bfd97a62b.MOBGXTYZBAS4VM8K.SEARCH&ppt=sp&ppn=sp&ssid=dgmcqa56k00000001731655681258&qH=979dd593b8c05a74,"₹24,999
₹27,99910% off"
"Motorola Edge 50 Fusion (Hot Pink, 128 GB)",https://www.flipkart.com/motorola-edge-50-fusion-hot-pink-128-gb/p/itmfee7de3c2e095?pid=MOBGXTYZCQSXJPC2&lid=LSTMOBGXTYZCQSXJPC2WFIGOL&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_2_28&otracker=search&otracker1=search&fm=Search&iid=52360e85-3d76-4ef3-adb8-f54bfd97a62b.MOBGXTYZCQSXJPC2.SEARCH&ppt=sp&ppn=sp&ssid=dgmcqa56k00000001731655681258&qH=979dd593b8c05a74,"₹22,999
₹25,99911% off"
"Motorola Edge 50 Fusion (Forest Blue, 128 GB)",https://www.flipkart.com/motorola-edge-50-fusion-forest-blue-128-gb/p/itm32aa01db0debf?pid=MOBGXTYZMJK85GFG&lid=LSTMOBGXTYZMJK85GFGHTK438&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_2_29&otracker=search&otracker1=search&fm=Search&iid=52360e85-3d76-4ef3-adb8-f54bfd97a62b.MOBGXTYZMJK85GFG.SEARCH&ppt=sp&ppn=sp&ssid=dgmcqa56k00000001731655681258&qH=979dd593b8c05a74,"₹22,999
₹25,99911% off"
"Motorola Edge 40 Neo (Peach Fuzz, 128 GB)",https://www.flipkart.com/motorola-edge-40-neo-peach-fuzz-128-gb/p/itm6fb5c2c795a3d?pid=MOBGW6JJ4ZJHVGXE&lid=LSTMOBGW6JJ4ZJHVGXEJVV8LF&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_2_30&otracker=search&otracker1=search&fm=Search&iid=52360e85-3d76-4ef3-adb8-f54bfd97a62b.MOBGW6JJ4ZJHVGXE.SEARCH&ppt=sp&ppn=sp&ssid=dgmcqa56k00000001731655681258&qH=979dd593b8c05a74,"₹22,999
₹27,99917% off"
